idx,나이,관심 아이템,관심 아웃도어
9065,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
9066,27.0,,"[0,0,0,0,0,0,0,0,0,1]"
9067,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9068,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9069,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9070,46.0,,
9071,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9072,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9073,25.0,,"[0,0,0,0,0,0,0,0,0,1]"
9074,22.0,,"[1,0,0,0,0,0,0,0,0,0]"
9075,49.0,,"[1,0,0,0,0,0,0,0,0,0]"
9076,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9077,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9079,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9080,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9081,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9082,,,
9083,51.0,,"[1,0,0,0,0,0,0,0,0,0]"
9084,23.0,,"[1,0,0,0,0,0,0,0,0,0]"
9085,,,"[1,0,0,0,0,0,0,0,0,0]"
9087,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9088,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9089,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9090,45.0,,"[0,0,0,0,1,0,0,0,0,0]"
9091,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9092,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9093,35.0,,"[0,1,0,0,0,0,0,0,0,0]"
9094,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9095,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
9096,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9098,31.0,,"[0,0,0,0,1,0,0,0,0,0]"
9099,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9100,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9101,,,"[1,0,0,0,0,0,0,0,0,0]"
9102,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9103,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9104,25.0,,"[0,0,0,0,0,0,0,0,0,1]"
9105,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9107,,,"[1,0,0,0,0,0,0,0,0,0]"
9108,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9109,,,"[1,0,0,0,0,0,0,0,0,0]"
9110,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9111,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9112,29.0,,"[0,1,0,0,0,0,0,0,0,0]"
9113,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9114,35.0,,"[0,0,0,0,0,0,0,0,0,1]"
9115,34.0,,
9116,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9117,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9118,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9119,27.0,,"[0,0,0,0,0,0,1,0,0,0]"
9120,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9121,46.0,,"[0,0,0,0,0,0,0,0,1,0]"
9122,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9123,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9124,52.0,,"[1,0,0,0,0,0,0,0,0,0]"
9125,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9126,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9127,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9128,30.0,,"[0,0,0,0,0,0,0,0,0,1]"
9129,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9130,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
9131,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9132,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9133,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9134,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9135,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9136,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9137,,,"[0,1,0,0,0,0,0,0,0,0]"
9138,43.0,,
9139,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
9142,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9143,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9144,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9145,30.0,,"[0,0,0,0,0,0,0,0,0,1]"
9146,24.0,,"[1,0,0,0,0,0,0,0,0,0]"
9147,,,"[1,0,0,0,0,0,0,0,0,0]"
9148,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9150,31.0,,
9151,30.0,,"[0,0,0,0,0,0,1,0,0,0]"
9152,45.0,,"[1,0,0,0,0,0,0,0,0,0]"
9153,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9154,53.0,,"[0,1,0,0,0,0,0,0,0,0]"
9155,35.0,,"[0,0,0,0,0,0,1,0,0,0]"
9156,45.0,,"[1,0,0,0,0,0,0,0,0,0]"
9157,,,"[1,0,0,0,0,0,0,0,0,0]"
9158,46.0,,"[1,0,0,0,0,0,0,0,0,0]"
9159,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9160,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9161,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9162,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9163,48.0,,"[1,0,0,0,0,0,0,0,0,0]"
9164,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9165,26.0,,"[0,0,0,0,0,1,0,0,0,0]"
9166,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9167,42.0,,
9168,,,"[1,0,0,0,0,0,0,0,0,0]"
9169,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9170,25.0,,"[1,0,0,0,0,0,0,0,0,0]"
9171,49.0,,"[1,0,0,0,0,0,0,0,0,0]"
9172,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9173,31.0,,"[0,1,0,0,0,0,0,0,0,0]"
9174,29.0,,"[0,0,0,0,0,0,0,0,0,1]"
9175,,,"[1,0,0,0,0,0,0,0,0,0]"
9176,,,"[1,0,0,0,0,0,0,0,0,0]"
9177,30.0,,"[0,0,0,0,1,0,0,0,0,0]"
9178,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
9179,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
9180,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9181,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9182,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9183,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9184,35.0,,
9185,30.0,,"[0,0,0,0,0,0,0,0,0,1]"
9186,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9187,49.0,,"[1,0,0,0,0,0,0,0,0,0]"
9188,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9189,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9190,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9191,,,"[1,0,0,0,0,0,0,0,0,0]"
9192,49.0,,"[1,0,0,0,0,0,0,0,0,0]"
9193,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9194,48.0,,"[1,0,0,0,0,0,0,0,0,0]"
9195,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9196,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9197,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9198,26.0,,"[0,0,0,0,1,0,0,0,0,0]"
9200,27.0,,"[0,0,0,0,0,0,0,0,0,1]"
9201,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9202,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9203,46.0,,"[1,0,0,0,0,0,0,0,0,0]"
9204,42.0,,"[0,0,0,0,0,0,1,0,0,0]"
9205,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9206,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9207,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9208,50.0,,"[1,0,0,0,0,0,0,0,0,0]"
9209,50.0,,"[1,0,0,0,0,0,0,0,0,0]"
9210,51.0,,"[1,0,0,0,0,0,0,0,0,0]"
9211,57.0,,"[1,0,0,0,0,0,0,0,0,0]"
9212,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9213,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9214,28.0,,"[0,0,0,0,0,0,0,0,0,1]"
9215,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9216,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
9217,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9218,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9219,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9220,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9221,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9222,58.0,,"[0,0,0,0,1,0,0,0,0,0]"
9223,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9224,35.0,,"[0,0,0,0,1,0,0,0,0,0]"
9225,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9226,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9227,,,"[0,0,0,0,1,0,0,0,0,0]"
9228,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9229,,,"[1,0,0,0,0,0,0,0,0,0]"
9230,29.0,,"[0,0,0,0,0,0,0,0,1,0]"
9231,32.0,,"[0,0,0,0,0,0,0,0,0,1]"
9232,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9234,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
9235,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9236,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9237,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9238,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9239,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9240,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9242,,,"[1,0,0,0,0,0,0,0,0,0]"
9243,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9244,,,"[0,1,0,0,0,0,0,0,0,0]"
9245,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9246,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
9247,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9248,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9249,29.0,,
9250,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9251,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9252,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
9253,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9255,46.0,,"[1,0,0,0,0,0,0,0,0,0]"
9256,35.0,,
9257,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
9258,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9259,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9260,28.0,,"[0,0,0,0,0,1,0,0,0,0]"
9261,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9262,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9263,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9264,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9265,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
9266,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9268,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9269,47.0,,"[1,0,0,0,0,0,0,0,0,0]"
9270,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9271,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9272,44.0,,"[0,0,0,0,0,0,0,0,0,1]"
9273,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
9274,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9275,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9276,24.0,,"[1,0,0,0,0,0,0,0,0,0]"
9277,25.0,,"[0,0,0,0,0,0,0,0,0,1]"
9278,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9279,30.0,,"[0,0,0,0,1,0,0,0,0,0]"
9280,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9281,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9282,24.0,,"[1,0,0,0,0,0,0,0,0,0]"
9283,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9284,,,"[1,0,0,0,0,0,0,0,0,0]"
9287,,,"[1,0,0,0,0,0,0,0,0,0]"
9288,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9289,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9290,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9291,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9292,,,"[1,0,0,0,0,0,0,0,0,0]"
9293,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9294,38.0,,"[0,0,0,0,0,0,0,0,0,1]"
9295,,,"[1,0,0,0,0,0,0,0,0,0]"
9296,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9297,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9298,31.0,,
9299,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9300,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9301,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9302,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9303,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9306,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9307,25.0,,"[1,0,0,0,0,0,0,0,0,0]"
9308,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9309,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9310,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9311,37.0,,"[0,0,0,0,1,0,0,0,0,0]"
9312,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9313,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9314,,,"[1,0,0,0,0,0,0,0,0,0]"
9315,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9316,50.0,,"[1,0,0,0,0,0,0,0,0,0]"
9317,,,"[0,1,0,0,0,0,0,0,0,0]"
9318,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9319,34.0,,"[0,0,0,0,0,0,0,0,0,1]"
9320,47.0,,"[1,0,0,0,0,0,0,0,0,0]"
9321,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9322,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9323,25.0,,"[1,0,0,0,0,0,0,0,0,0]"
9324,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9325,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9326,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9327,26.0,,"[0,0,0,0,1,0,0,0,0,0]"
9328,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9329,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9330,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9331,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
9332,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9333,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9334,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9335,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9336,45.0,,"[1,0,0,0,0,0,0,0,0,0]"
9337,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9338,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9339,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9340,42.0,,"[0,0,0,0,0,1,0,0,0,0]"
9341,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9342,34.0,,"[0,0,0,0,0,1,0,0,0,0]"
9343,48.0,,"[1,0,0,0,0,0,0,0,0,0]"
9344,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9345,21.0,,"[1,0,0,0,0,0,0,0,0,0]"
9346,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9347,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9348,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9349,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9350,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9351,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9352,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9353,47.0,,"[1,0,0,0,0,0,0,0,0,0]"
9354,52.0,,"[1,0,0,0,0,0,0,0,0,0]"
9355,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9359,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
9360,51.0,,"[1,0,0,0,0,0,0,0,0,0]"
9361,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9362,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9363,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9364,28.0,,"[0,0,0,0,0,0,0,0,1,0]"
9365,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9366,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9367,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9368,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9370,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
9371,42.0,,"[0,0,0,0,1,0,0,0,0,0]"
9373,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9374,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9375,23.0,,"[0,0,0,0,0,0,0,0,0,1]"
9378,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9379,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9380,45.0,,"[1,0,0,0,0,0,0,0,0,0]"
9381,35.0,,"[0,0,0,0,0,0,0,0,0,1]"
9382,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9383,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9384,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9387,,,
9388,24.0,,"[1,0,0,0,0,0,0,0,0,0]"
9389,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9390,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9391,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9392,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9393,28.0,,"[0,0,0,0,0,1,0,0,0,0]"
9394,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9395,,,"[1,0,0,0,0,0,0,0,0,0]"
9396,23.0,,"[0,0,0,0,0,0,0,0,0,1]"
9397,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9399,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9400,,,"[1,0,0,0,0,0,0,0,0,0]"
9401,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9402,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9403,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9404,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9405,,,"[1,0,0,0,0,0,0,0,0,0]"
9406,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9407,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9408,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9409,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9410,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9411,36.0,,"[0,0,0,0,1,0,0,0,0,0]"
9412,26.0,,"[0,0,0,0,0,1,0,0,0,0]"
9413,,,"[0,0,0,0,0,0,0,0,0,1]"
9414,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
9415,,,"[1,0,0,0,0,0,0,0,0,0]"
9416,58.0,,"[1,0,0,0,0,0,0,0,0,0]"
9417,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9418,55.0,,"[0,1,0,0,0,0,0,0,0,0]"
9419,30.0,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
9420,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
9421,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
9422,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9423,61.0,,
9424,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9425,32.0,,"[0,0,0,0,0,0,1,0,0,0]"
9426,25.0,,"[1,0,0,0,0,0,0,0,0,0]"
9427,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
9428,49.0,,"[1,0,0,0,0,0,0,0,0,0]"
9429,44.0,,"[0,1,0,0,0,0,0,0,0,0]"
9430,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9431,29.0,,"[0,1,0,0,0,0,0,0,0,0]"
9432,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9433,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9434,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
9435,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9436,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9437,24.0,,"[1,0,0,0,0,0,0,0,0,0]"
9438,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9439,41.0,,"[0,0,0,0,0,0,0,0,0,1]"
9440,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9447,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9448,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9449,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9450,,,"[0,0,0,0,1,0,0,0,0,0]"
9451,49.0,,"[1,0,0,0,0,0,0,0,0,0]"
9452,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9453,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9454,45.0,,"[1,0,0,0,0,0,0,0,0,0]"
9455,46.0,,"[0,0,0,0,0,1,0,0,0,0]"
9456,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9457,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9458,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9459,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9460,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9461,27.0,,"[0,0,0,0,0,0,1,0,0,0]"
9462,29.0,,"[0,0,0,0,0,1,0,0,0,0]"
9463,33.0,,"[0,0,0,0,1,0,0,0,0,0]"
9464,47.0,,"[1,0,0,0,0,0,0,0,0,0]"
9465,24.0,,"[1,0,0,0,0,0,0,0,0,0]"
9466,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9467,75.0,,"[1,0,0,0,0,0,0,0,0,0]"
9468,,,"[1,0,0,0,0,0,0,0,0,0]"
9470,,,"[0,0,0,0,1,0,0,0,0,0]"
9471,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9472,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9473,24.0,,"[0,0,0,0,0,1,0,0,0,0]"
9476,29.0,,"[0,0,0,0,0,0,0,0,0,1]"
9477,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9478,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9479,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9480,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
9481,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9482,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9483,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9484,31.0,,"[0,0,0,0,0,0,0,0,1,0]"
9485,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9486,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9487,50.0,,"[1,0,0,0,0,0,0,0,0,0]"
9488,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9489,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9490,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
9491,38.0,,"[0,0,0,0,0,0,0,0,0,1]"
9492,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9493,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9494,25.0,,"[1,0,0,0,0,0,0,0,0,0]"
9495,38.0,,
9496,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9498,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9499,,,"[0,0,0,0,1,0,0,0,0,0]"
9500,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9502,21.0,,"[1,0,0,0,0,0,0,0,0,0]"
9503,32.0,,"[0,0,0,0,0,0,1,0,0,0]"
9504,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
9505,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9506,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9507,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
9508,44.0,,"[1,0,0,0,0,0,0,0,0,0]"
9509,,,"[0,0,0,0,0,0,0,0,0,1]"
9510,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9511,50.0,,"[1,0,0,0,0,0,0,0,0,0]"
9512,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
9513,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9514,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9515,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9516,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9517,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9518,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
9519,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
9520,27.0,,"[1,0,0,0,0,0,0,0,0,0]"
9521,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
9523,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
9524,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9525,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9526,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
9527,44.0,,"[0,0,0,0,0,0,0,0,0,1]"
9528,23.0,,"[1,0,0,0,0,0,0,0,0,0]"
9529,26.0,,"[1,0,0,0,0,0,0,0,0,0]"
9530,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9531,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9532,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9533,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9534,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
9535,24.0,,"[1,0,0,0,0,0,0,0,0,0]"
9536,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9537,22.0,,"[0,0,0,0,1,0,0,0,0,0]"
9539,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
9540,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
9541,,,
9543,,,"[1,0,0,0,0,0,0,0,0,0]"
9545,36.0,,"[0,0,0,0,0,0,0,0,0,1]"
9546,30.0,,"[1,0,0,0,0,0,0,0,0,0]"
9547,38.0,,"[0,0,0,0,0,1,0,0,0,0]"
9548,40.0,,"[0,0,0,0,0,0,0,0,0,1]"
9549,45.0,,"[1,0,0,0,0,0,0,0,0,0]"
9550,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
9552,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
9553,25.0,,"[1,0,0,0,0,0,0,0,0,0]"
9554,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
9555,28.0,,"[1,0,0,0,0,0,0,0,0,0]"
9557,43.0,,
