idx,나이,관심 아이템,관심 아웃도어
191,64.0,,"[0,0,0,0,0,0,0,0,0,1]"
192,38.0,,"[0,1,0,0,0,0,0,0,0,0]"
193,64.0,,"[0,0,0,0,1,0,0,0,0,0]"
194,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
195,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
196,34.0,,
197,26.0,,
198,45.0,,
199,37.0,,"[0,0,0,0,1,0,0,0,0,0]"
200,37.0,,"[0,0,0,0,1,0,0,0,0,0]"
201,,,
213,,,
214,35.0,,"[0,1,0,0,0,0,0,0,0,0]"
215,913.0,,
216,46.0,,"[0,0,1,0,0,0,0,0,0,0]"
217,31.0,,
218,32.0,,
219,24.0,,
220,33.0,,
221,34.0,,"[0,1,0,0,0,0,0,0,0,0]"
222,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
223,34.0,,
224,32.0,,
225,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
226,36.0,,"[0,0,0,0,0,0,0,0,1,0]"
227,29.0,,"[1,0,0,0,0,0,0,0,0,0]"
228,47.0,,
229,29.0,,
230,30.0,,
232,38.0,,"[0,0,0,0,1,0,0,0,0,0]"
233,69.0,,
234,63.0,,
235,30.0,,
236,29.0,,
237,56.0,,"[0,0,0,0,0,0,0,0,0,1]"
238,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
239,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
240,,,
241,35.0,,
242,36.0,,
243,28.0,,"[0,0,0,0,0,0,0,0,0,1]"
244,32.0,,"[0,1,0,0,0,0,0,0,0,0]"
245,37.0,,
246,,,"[1,0,0,0,0,0,0,0,0,0]"
247,41.0,,
248,43.0,,
249,33.0,,"[0,0,0,0,0,0,0,0,0,1]"
250,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
251,41.0,,
252,31.0,,
253,39.0,,"[1,0,0,0,0,0,0,0,0,0]"
254,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
256,,,"[1,0,0,0,0,0,0,0,0,0]"
257,45.0,,
258,71.0,,
259,48.0,,
260,21.0,,"[0,0,0,0,0,0,0,0,0,1]"
261,51.0,,"[1,0,0,0,0,0,0,0,0,0]"
262,63.0,,
263,51.0,,
264,65.0,,
265,29.0,,"[0,0,0,0,0,0,0,0,0,1]"
268,,,
269,39.0,,
270,61.0,,"[1,0,0,0,0,0,0,0,0,0]"
271,36.0,,"[0,0,0,0,0,0,0,0,1,0]"
272,29.0,,
273,44.0,,
274,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
275,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
276,32.0,"[1,0,0]",
277,33.0,,
278,49.0,,
279,,,
280,,,"[1,0,0,0,0,0,0,0,0,0]"
281,72.0,,"[0,0,0,0,0,0,0,0,0,1]"
282,31.0,,
283,39.0,,
284,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
307,36.0,,"[0,0,0,0,0,0,0,0,0,1]"
308,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
309,43.0,,
310,36.0,,
311,57.0,,
312,35.0,,
313,39.0,,
314,40.0,,
315,32.0,,
316,36.0,,"[0,0,0,0,0,0,0,0,0,1]"
317,42.0,,
318,45.0,,
319,27.0,,"[0,0,0,0,1,0,0,0,0,0]"
320,32.0,,
321,30.0,,"[0,0,0,0,1,0,0,0,0,0]"
322,43.0,,"[1,0,0,0,0,0,0,0,0,0]"
323,25.0,,"[0,0,0,0,1,0,0,0,0,0]"
324,36.0,,
325,39.0,,
326,34.0,,"[0,0,0,0,0,0,0,0,0,1]"
327,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
328,43.0,,"[0,0,0,0,0,0,0,0,0,1]"
329,33.0,,"[0,0,0,0,0,0,0,0,0,1]"
330,32.0,,
331,41.0,,"[0,0,0,0,0,0,0,0,0,1]"
332,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
333,28.0,,"[0,0,0,0,0,0,0,0,0,1]"
334,38.0,,"[0,0,0,0,1,0,0,0,0,0]"
335,25.0,,
336,37.0,,
337,35.0,,"[0,0,0,1,0,0,0,0,0,0]"
338,50.0,,"[0,0,0,0,1,0,0,0,0,0]"
339,37.0,,
340,38.0,,"[0,0,0,0,1,0,0,0,0,0]"
341,32.0,,"[0,0,0,0,0,0,0,0,0,1]"
